"Well" "PlateID" "Sample" "Detector" "Cts"
3 "B" "three" "er" 20.4157632961591
4 "B" "three" "jw" 19.1922450575311
5 "B" "three" "il" 20.9060650714403
6 "B" "three" "bc" 21.6659836667452
7 "B" "three" "qy" 19.5635729729058
8 "B" "three" "qs" 19.5231007057247
9 "B" "three" "dh" 19.6831359891326
10 "B" "three" "hl" 18.6584666569296
11 "B" "three" "by" 19.5800217095197
12 "B" "three" "ev" 20.1879641813157
13 "B" "three" "jr" 19.9521189246857
14 "B" "three" "dq" 20.3288273574398
15 "B" "three" "rz" 19.9815814732238
16 "B" "three" "iv" 19.0765841293029
17 "B" "three" "vx" 18.1605432770232
18 "B" "three" "ai" 19.967186142245
19 "B" "three" "dr" 20.4874926294608
20 "B" "three" "fr" 19.5938335577460
21 "B" "three" "gx" 20.0493646425960
22 "B" "three" "eg" 19.7515398275396
23 "B" "three" "az" 18.7481976699327
24 "B" "three" "xz" 20.7493922258348
25 "B" "three" "fw" 18.5503222908182
26 "B" "four" "dm" 20.8395418431417
27 "B" "four" "sw" 18.2138877101961
28 "B" "four" "er" 18.8059631723498
29 "B" "four" "jw" 19.9486352669284
30 "B" "four" "il" 20.2503679531
31 "B" "four" "bc" 20.5809333713652
32 "B" "four" "qy" 18.2851799980457
33 "B" "four" "qs" 17.4893790714407
34 "B" "four" "dh" 19.3189337414645
35 "B" "four" "hl" 20.8563312435095
36 "B" "four" "by" 18.1636062848498
37 "B" "four" "ev" 20.2699290592588
38 "B" "four" "jr" 21.423326017771
39 "B" "four" "dq" 20.1302577263771
40 "B" "four" "rz" 17.7697142777519
41 "B" "four" "iv" 19.6511475349660
42 "B" "four" "vx" 19.5642401478024
43 "B" "four" "ai" 21.8182560633770
44 "B" "four" "dr" 21.5444378047811
45 "B" "four" "fr" 20.6072912335256
46 "B" "four" "gx" 18.4612934392979
47 "B" "four" "eg" 20.7298410352993
48 "B" "four" "az" 20.2425873046043
49 "B" "four" "xz" 18.5861762559058
50 "B" "four" "fw" 21.3999377034634
1 "C" "one" "dm" 20.2709739699307
2 "C" "one" "sw" 21.9311873120558
3 "C" "one" "er" 21.7857499006095
4 "C" "one" "jw" 19.3867229940152
5 "C" "one" "il" 18.2064422746961
6 "C" "one" "bc" 19.9712829913985
7 "C" "one" "qy" 22.0094973641946
8 "C" "one" "qs" 21.3584908638776
9 "C" "one" "dh" 18.5648770855196
10 "C" "one" "hl" 20.5172127984268
11 "C" "one" "by" 19.768475517607
12 "C" "one" "ev" 19.6376594496951
13 "C" "one" "jr" 20.2465556480891
14 "C" "one" "dq" 21.2399931102537
15 "C" "one" "rz" 19.9502945644295
16 "C" "one" "iv" 18.6281515515089
17 "C" "one" "vx" 20.0964318640378
18 "C" "one" "ai" 19.1769205655404
19 "C" "one" "dr" 18.2746914243454
20 "C" "one" "fr" 17.8280346713740
21 "C" "one" "gx" 20.0441558548604
22 "C" "one" "eg" 20.6043225072735
23 "C" "one" "az" 19.7141040071578
24 "C" "one" "xz" 20.1560057526097
25 "C" "one" "fw" 20.9973523184449
26 "C" "two" "dm" 19.9894160519445
27 "C" "two" "sw" 19.8047755834153
28 "C" "two" "er" 19.9911623405408
29 "C" "two" "jw" 21.0042767060770
30 "C" "two" "il" 20.1565758217355
31 "C" "two" "bc" 20.3833034113827
32 "C" "two" "qy" 18.9436613873013
33 "C" "two" "qs" 20.8476615993419
34 "C" "two" "dh" 19.4459706816620
35 "C" "two" "hl" 19.5630798425886
36 "C" "two" "by" 20.0961954770471
37 "C" "two" "ev" 17.7290142716347
38 "C" "two" "jr" 19.7100449367721
39 "C" "two" "dq" 20.3190757114800
40 "C" "two" "rz" 17.9060859721407
41 "C" "two" "iv" 19.5208712891125
42 "C" "two" "vx" 19.0541298230337
43 "C" "two" "ai" 19.3309166611293
44 "C" "two" "dr" 18.8372600075061
45 "C" "two" "fr" 19.4041778564794
46 "C" "two" "gx" 21.1356631394293
47 "C" "two" "eg" 21.7457837680075
48 "C" "two" "az" 20.046543997699
49 "C" "two" "xz" 19.1233944627407
50 "C" "two" "fw" 19.275130708386
1 "D" "three" "dm" 19.0730513249518
2 "D" "three" "sw" 21.8577356502919
3 "D" "three" "er" 20.2640908713482
4 "D" "three" "jw" 19.9075935513591
5 "D" "three" "il" 19.6704472202351
6 "D" "three" "bc" 18.8694964744147
7 "D" "three" "qy" 19.6399775655525
8 "D" "three" "qs" 19.6218853583455
9 "D" "three" "dh" 19.8053959708005
10 "D" "three" "hl" 21.6689508468287
11 "D" "three" "by" 20.7400957861041
12 "D" "three" "ev" 19.5266225682397
13 "D" "three" "jr" 19.9013263746145
14 "D" "three" "dq" 19.6613812202236
15 "D" "three" "rz" 20.5606599546275
16 "D" "three" "iv" 18.8491614856104
17 "D" "three" "vx" 18.7020438905139
18 "D" "three" "ai" 21.0219929057775
19 "D" "three" "dr" 20.2184516358930
20 "D" "three" "fr" 19.8620624606787
21 "D" "three" "gx" 19.4502747875137
22 "D" "three" "eg" 20.2399304370681
23 "D" "three" "az" 20.4297386086333
24 "D" "three" "xz" 20.4757927712348
25 "D" "three" "fw" 19.2812740612491
26 "D" "four" "dm" 19.8217277769028
27 "D" "four" "sw" 20.6187808523916
28 "D" "four" "er" 18.6327899942201
29 "D" "four" "jw" 18.8529201749265
30 "D" "four" "il" 20.5724236293671
31 "D" "four" "bc" 19.2407132755982
32 "D" "four" "qy" 18.3368696798480
33 "D" "four" "qs" 18.6467421648343
34 "D" "four" "dh" 21.4314546592365
35 "D" "four" "hl" 20.6617272286417
36 "D" "four" "by" 20.7429802145681
37 "D" "four" "ev" 19.7406038517418
38 "D" "four" "jr" 20.9170778664594
39 "D" "four" "dq" 18.7289619361650
40 "D" "four" "rz" 21.2820110142392
41 "D" "four" "iv" 21.2111090998191
42 "D" "four" "vx" 19.9599353887929
43 "D" "four" "ai" 19.2464885799813
44 "D" "four" "dr" 20.4832936051055
45 "D" "four" "fr" 21.2785374125132
46 "D" "four" "gx" 21.6868757078195
47 "D" "four" "eg" 19.1716944263018
48 "D" "four" "az" 20.7179112195396
49 "D" "four" "xz" 19.9786507377350
50 "D" "four" "fw" 19.8522036845548
